source,target,weight,avg_streams,hyperbolic_distance
chicago rap,southern hip hop,5,18665038.6,2.6821188926696777
country,post-teen pop,5,33764321.8,4.215007305145264
philly rap,pop rap,5,93020449.8,1.4352424144744873
electro house,pop edm,5,64071501.0,1.10677969455719
indie poptimism,tropical house,5,48371639.8,1.8650593757629395
complextro,pop,5,60288627.4,4.414950370788574
chicago rap,hip hop,5,17039846.0,3.5854663848876953
edm,latin pop,5,39232333.0,3.9667887687683105
perreo,trap latino,5,23951044.0,0.5462720394134521
country road,dance pop,5,39864527.0,3.343851327896118
belgian edm,edm,5,101939379.0,0.7373233437538147
belgian edm,tropical house,5,101939379.0,1.7649672031402588
electro house,rap,5,46575746.0,7.108570098876953
edm,r&b,4,105298674.75,5.094118595123291
canadian pop,edm,4,103784964.75,3.531057119369507
disco house,edm,4,15226280.25,7.006692409515381
edm,filter house,4,15226280.25,2.0449092388153076
edm,vocal house,4,15226280.25,7.028683185577393
disco house,tropical house,4,15226280.25,6.0297088623046875
filter house,tropical house,4,15226280.25,1.397190809249878
tropical house,vocal house,4,15226280.25,6.0517988204956055
australian pop,edm,4,21278390.25,3.7701327800750732
australian pop,tropical house,4,21278390.25,1.8870997428894043
dance pop,electronic trap,4,115024401.75,4.399182319641113
big room,europop,4,34719310.0,4.367952823638916
dance pop,europop,4,34719310.0,1.249823808670044
europop,pop,4,34719310.0,2.01338529586792
electropop,swedish pop,4,23439162.25,0.6410865783691406
grime,pop,4,23504334.25,7.379031658172607
grime,uk pop,4,23504334.25,7.779409408569336
country,country rap,4,280187925.3333333,3.3878228664398193
country road,pop rap,4,280187925.3333333,5.520538330078125
pop edm,uk pop,4,64341099.66666666,4.703709602355957
german hip hop,kosovan pop,4,6827331.0,4.61733341217041
atl hip hop,canadian hip hop,4,27334136.25,1.4507864713668823
atl hip hop,canadian pop,4,9175746.5,4.932171821594238
atl hip hop,toronto rap,4,27334136.25,2.2183661460876465
latin pop,r&b en espanol,4,109211027.25,5.501073837280273
r&b en espanol,rap latina,4,109211027.25,3.564197301864624
